ASN,Organization-Name,Rank,ROV-Percentage
133967,Hardwork Cable and Internet Services Pvt Ltd,10596,0
134009,NETCOM ENTERPRISES PVT LTD,10626,0.09
20091,"City of Martinsville, VA",10626,0
131749,PT. Arthatama Adhiprima Persada,10626,0.59
45044,FOP Kichuk Ivan Ivanovich,10626,0
64398,NXTSERVERS SRL,10626,0
136652,Bytel Tranet Private Limited,10626,0
57011,Information- Analytical Agency IF LTD,10626,0
50459,"Private enterprise ""InformService""",10626,0
395165,Madison Telephone LLC,10626,0
6704,Citylan LLC,10626,0.88
51875,COMMERCIAL COMPANY SILVER SERVICE Ltd.,10626,0
37336,Econet - Leo SA,10626,0
24529,PT. Infotama Lintas Global,10681,0
51892,VOENTELECOM JSC,10692,0
100,FMC Central Engineering Laboratories,10698,0
7741,CIBC World Markets,10711,1
196938,Krastelecom Ltd,10714,0
138115,PT Deneva,10715,0
205146,Bartlomiej Michal Czyz trading as F.P.H.U AVANET,10719,0
135100,Maxnet Online Limited,10726,0
137622,Royal Connect Solutions Pvt Ltd,10748,0
327898,CBC EMEA LTD,10748,0
264686,TECNOLOGIA Y SISTEMAS WILCASJI SOCIEDAD ANONIMA,10748,0
56699,GUP NAO Neneckaya kompaniya electrosvyazi,10748,0
204301,Cioch Adrian Centrum Uslug Sieciowych,10766,0
198704,Komenda Glowna Policji,10766,0
24364,CERNET2 IX at Shanghai Jiaotong University,10766,0.3
40983,PE First Telecommunication Company,10828,1
5,WFA Group LLC,10832,0
12986,Ukrspetskom LLC.,10835,0
207085,"LLC ""RACKPLACE""",10840,0
57962,"LLC "" Ug telekom grup """,10846,0
42786,SC Dynamic Telecom SRL,10846,0
20005,SANDHILLS PUBLISHING,10866,0
34355,Chernigivtelecom LLC,10866,0
138117,PT. Solusindo Basis Teknologi,10891,0
44495,Palvi Telecom Ltd,10891,0
56477,OOO WestCall Ltd.,10891,0
50211,"PP ""IF-IX""",10891,0
43476,leniwiec.biz Grzegorz Kulewski,10947,0
50038,"Joint Stock Company ""Sirena-Travel""",10951,0
132246,St. Luke's Medical Center,10959,0
199534,JSC Eniseytelephone,10964,0
199560,Ltd. ENGRUP,10983,0
24361,CERNET2 IX at Southeast University,10983,0
206435,Individual Entrepreneur Haibulaev Ruslan Abdulasanovich,10983,0
24369,CERNET2 IX at Northeast University,10983,0.09
7363,,11041,0
34060,SC TELECOMUNICATII CFR SA,11083,0.18
14618,"Amazon.com, Inc.",11089,0.61
17858,LG POWERCOMM,11091,0
12576,EE Limited,11093,0
9644,SK Telecom,11094,0
1659,"Education Bureau, Kaohsiung City Government, Taiwan",11095,0
23693,PT. Telekomunikasi Selular,11096,0
22394,Cellco Partnership DBA Verizon Wireless,11097,0
45090,Shenzhen Tencent Computer Systems Company Limited,11098,0
27699,TELEFÔNICA BRASIL S.A,11099,0
10455,Nokia of America Corporation,11100,0.88
37069,The Egyptian Company for Mobile Services (Mobinil),11101,0
26611,COMCEL S.A.,11102,0
24560,Bharti Airtel Limited,11103,0
4152,USDA,11106,1
9105,TalkTalk Communications Limited,11107,0
9605,,11109,1
1761,General Services Commission,11111,1
47331,TTNet A.S.,11112,0
36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,11114,0
34400,"Etihad Etisalat, a joint stock company",11115,0
3,Massachusetts Institute of Technology,11116,0
10620,Telmex Colombia S.A.,11117,0
36935,Vodafone Data,11118,0
9674,"Far EastTone Telecommunication Co., Ltd.",11119,1
45102,"Alibaba (US) Technology Co., Ltd.",11120,0
6871,British Telecommunications PLC,11121,1
8228,SFR SA,11124,0
29975,Vodacom,11126,0
9316,DACOM-PUBNETPLUS,11127,0
4565,MegaPath Networks Inc.,11128,0
9812,"Oriental Cable Network Co., Ltd.",11129,0
27831,Colombia Móvil,11130,0
16232,Telecom Italia S.p.A.,11131,0
22085,Claro S/A,11132,0
9595,,11133,0
16135,TURKCELL ILETISIM HIZMETLERI A.S.,11135,0.03
17552,TRUE INTERNET CORPORATION CO. LTD.,11136,0
17421,"Data Communication Business Group,",11137,0
19527,Google LLC,11138,0
158,"Ericsson Network Systems, Inc.",11139,1
20959,Telecom Italia S.p.A.,11140,0
29256,Syrian Telecom,11141,0.61
18126,,11142,0.64
9617,,11144,0
109,"Cisco Systems, Inc.",11145,0
7792,3M Company,11147,0
46690,"Southern New England Telephone Company and SNET America, Inc.",11149,1
50266,T-Mobile Thuis BV,11150,0
808,GONET,11151,1
4685,,11152,0
44034,Hi3G Access AB,11153,1
31615,T-mobile Netherlands B.V.,11154,0
14654,"Wayport, LLC",11156,0
36998,Sudanese Mobile Telephone (ZAIN) Co Ltd,11157,0.53
37287,Zain Zambia PLC,11160,0
6535,Telmex Servicios Empresariales S.A.,11161,0
55430,Starhub Internet Pte Ltd,11162,0
37705,TOPNET,11163,0
15480,Vodafone Libertel N.V,11170,1
3354,University of Texas System,11171,0
17429,BEIJING GEHUA CATV NETWORK CO.LTD,11172,0
2379,"CenturyLink Communications, LLC",11173,1
20978,TT Mobil Iletisim Hizmetleri A.S,11175,1
56047,China Mobile,11176,1
17962,ShenZhen Topway Video Communication Co. Ltd,11177,0.15
31822,City University of New York,11179,0.76
72,Schlumberger Limited,11180,0.36
7641,China Broadcasting TV Net,11181,0
17716,National Taiwan University,11182,0
7726,FedEx Internet Technologies Corporation,11183,0
87,Indiana University,11184,0
58593,"Shanghai Blue Cloud Technology Co.,Ltd",11186,0
396982,Google LLC,11187,0.06
4721,,11188,0
395954,"Leaseweb USA, Inc.",11189,0.33
24086,Viettel Corporation,11190,1
14977,State of Wyoming Department A&I,11191,0
2897,Georgia Technology Authority,11192,1
53006,ALGAR TELECOM S/A,11193,0
38341,China Internet Network Infomation Center,11194,0
36972,MTN SUDAN,11195,0.42
17713,National Sun Yat-sen University,11196,0
12638,Telefonica Germany GmbH & Co.OHG,11197,0
1901,A1 Telekom Austria AG,11198,0
12663,Vodafone Italia S.p.A.,11200,0
62904,Eonix Corporation,11203,0
19957,AT&T Corp.,11204,0.91
44546,ALFA TELECOM s.r.o.,11206,0
27651,ENTEL CHILE S.A.,11210,0
19165,Webpass Inc.,11211,0
8386,VODAFONE NET ILETISIM HIZMETLERI ANONIM SIRKETI,11212,0
7065,"Sonic.net, LLC",11217,1
8,Rice University,11219,0
12876,ONLINE S.A.S.,11221,1
24139,Huashu media&Network Limited,11222,0
135887,Telstra Corporation,11224,1
38841,kbro CO. Ltd.,11225,0
3999,The Pennsylvania State University,11227,0
17968,Daqing zhongji petroleum telecommunication construction limited cpmpany,11229,0
37611,Afrihost (Pty) Ltd,11230,0.24
9916,"National Chiao Tung University,",11232,1
17,Purdue University,11234,0
17853,LGTELECOM,11236,0
25441,Imagine Communications Group Limited,11237,0.88
4782,"Data Communication Business Group,",11240,0
8070,Microsoft Corporation,11242,0
4668,LG CNS,11243,0
8987,Amazon Data Services Ireland Ltd,11245,0.97
4773,M1 LIMITED,11246,0
17055,University of Utah,11248,0
3136,State of WI Dept. of Administration,11252,0.06
26662,XEROX CORPORATION,11254,0
15395,Rackspace Ltd.,11256,0
34058,"Limited Liability Company ""lifecell""",11258,0
24158,"Taiwan Mobile Co., Ltd.",11259,0
28571,UNIVERSIDADE DE SAO PAULO,11260,0
27889,Telecomunicaciones MOVILNET,11262,0.09
15516,DANSK KABEL TV A/S,11263,0
58543,Guangdong,11264,0
25820,IT7 Networks Inc,11265,0.55
17964,"Beijing Dian-Xin-Tong Network Technologies Co., Ltd.",11266,0
13036,T-Mobile Czech Republic a.s.,11268,0
131596,TBC,11268,0
26577,BAE Systems Inc.,11271,0.88
7684,,11272,0
55960,Beijing Guanghuan Xinwang Digital,11273,0
611,NB-PEI Educational Computer Network,11275,0
11363,Fujitsu America Inc.,11276,0
393952,Service Alberta,11277,0
239,University of Toronto,11278,1
3602,Rogers Communications Canada Inc.,11279,1
1942,Renater,11279,0
8803,Migros-Genossenschafts-Bund,11281,0
32,Stanford University,11282,0.21
8972,Host Europe GmbH,11283,0
59,University of Wisconsin Madison,11284,0
52,"University of California, Los Angeles",11285,0.27
6289,"American Honda Motor Co., Inc.",11287,0
217,University of Minnesota,11291,0
5778,"CenturyLink Communications, LLC",11295,1
17849,SK Broadband Co Ltd,11296,0
21852,"State Of Arkansas, Division of Information Systems",11297,0.09
26810,U.S. Dept. of Health and Human Services,11298,1
11315,Telefónica Móviles Argentina S.A. (Movistar Argentina),11300,1
11489,Bell Canada,11301,1
1290,Telstra Europe Ltd,11302,0
132199,Globe Telecom Inc.,11305,0
18,University of Texas at Austin,11306,0
73,University of Washington,11309,0
17839,LG HelloVision Corp.,11310,0
18144,,11313,0.24
18049,Taiwan Infrastructure Network Technologie,11314,1
7127,Southern California Edison,11315,0
5390,Euronet Communications B.V.,11316,0
131591,Ambit Microsystem Corporation,11317,0
38365,"Beijing Baidu Netcom Science and Technology Co., Ltd.",11319,0
2506,,11321,0
12708,TalkTalk Communications Limited,11322,0
8147,Ericsson Inc.,11323,0
9597,,11325,0
4185,AT&T Corp.,11326,0
127,Jet Propulsion Laboratory,11327,0.03
21286,KPN Corporate Market B.V.,11328,1
18042,Koos Broadband Telecom,11330,0
36891,Icosnet SPA,11332,0
135629,Ningxia West Cloud Data Technology Co.Ltd.,11333,1
6539,Bell Canada,11335,0
27925,Entel PCS Telecomunicaciones S.A.,11336,0
43939,Netia SA,11341,1
299,"University of California, Irvine",11349,0.45
22390,XEROX CORPORATION,11350,0
292,ESnet,11352,1
291,ESnet,11352,0
197288,Stofa A/S,11352,1
4673,,11362,0
9676,SaveCom Internation Inc.,11363,0
13445,Cisco Webex LLC,11364,0
37309,QCell Limited,11368,0
56132,Monash University,11370,0
792,Oracle Corporation,11371,1
29247,Cosmote Mobile Telecommunications S.A.,11372,1
45062,"Guangzhou NetEase Computer System Co., Ltd.",11373,0
41012,The Cloud Networks Limited,11374,1
6527,Commonwealth of Massachusetts,11375,1
6192,University of California at Davis,11376,1
10405,Union Pacific Railroad Company,11377,0
4663,"ELIMNET, INC.",11379,0.15
9943,KangNam CableTV,11379,0
25310,Vodafone Enterprise U.K.,11382,0
136907,HUAWEI INTERNATIONAL PTE. LTD.,11384,0
17864,SK Broadband Co Ltd,11385,0
30873,Public Telecommunication Corporation,11386,0
24164,UNION BROADBAND NETWORK,11388,0
2048,State of Louisiana Office of Technology Services,11389,1
10199,Tata Communications Limited,11390,1
134764,China Telecom,11391,0
27866,CO.PA.CO.,11392,0
37671,3S INF,11394,0
1798,State of Oregon,11395,0
10846,Deere & Company,11396,1
15318,McGill University,11398,0
9142,THE INTERNEXUS GROUP LIMITED,11399,0.91
38,University of Illinois,11400,0.39
2055,Louisiana State University,11402,0.15
54614,CIK Telecom INC,11405,0.09
7687,,11406,0
14,Columbia University,11407,0
37105,Neology (Pty) Ltd,11408,0
23563,SK Broadband Co Ltd,11410,0
5669,GTT,11413,0
36850,University of North Carolina at Chapel Hill,11416,0.27
19399,Region Stockholm,11417,0
24378,Total Access Communication PLC.,11418,0
25,University of California at Berkeley,11421,1
30449,State of Arizona,11424,0
396349,"Five College Net, LLC",11425,0
2501,,11428,0
47610,RWTH Aachen University,11432,0.94
13541,Mentor Graphics Corporation,11435,0
159,The Ohio State University,11439,0.09
225,University of Virginia,11441,0.21
8094,North West University,11445,0
4130,University of Pittsburgh,11446,0
36647,Oath Holdings Inc.,11447,0
11442,North Carolina State University,11447,0.18
2269,Renater,11447,0
11188,LOS ANGELES COUNTY - INTERNAL SERVICESDIVISION,11450,0
26,Cornell University,11451,0
1999,U.S. House of Representatives,11451,0
7573,AARNet,11454,0
2553,Florida State University,11456,0
23859,AARNet,11456,0
5653,University of California San Francisco,11459,0
17435,Vodafone Next Generation Services Limited,11459,0
9694,Seokyung Cable Television Co.. Ltd.,11462,0
1124,Universiteit van Amsterdam,11464,1
1128,SURF B.V.,11464,0
17877,"NexG Co., LTD",11467,0
27725,"Empresa de Telecomunicaciones de Cuba, S.A.",11469,0
134762,China Telecom,11472,0
7203,"Leaseweb USA, Inc.",11473,0
17809,VEE TIME CORP.,11476,0
37081,Movicel Telecomunicacoes S.A.,11477,0
4662,GCNet (Reach & Range Inc.),11478,0
13043,Bayer AG,11479,0
10139,"Smart Broadband, Inc.",11481,0
26347,"New Dream Network, LLC",11482,0
15542,DELTA Fiber Nederland B.V.,11483,0
45,Lawrence Livermore National Laboratory,11485,1
17698,,11486,0
2900,Arizona Tri University Network,11488,0
4983,Intel Corporation,11489,0
9503,CallPlus Services Limited,11490,1
29580,A1 Bulgaria EAD,11494,0
11398,"CenturyLink Communications, LLC",11495,1
15879,KPN B.V.,11496,0
17819,Equinix Asia Pacific Pte Ltd,11497,0
19773,"Motorola, Inc.",11499,1
24157,Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.),11500,0
15475,Nile Online,11502,0.33
9374,,11503,0
27695,EDATEL S.A. E.S.P,11505,0
10921,Commonwealth of KentuckyDepartment of Information Systems,11506,1
12079,Cellco Partnership DBA Verizon Wireless,11508,1
25620,COTAS LTDA.,11510,1
31012,A1 Hrvatska d.o.o.,11511,0
9874,Starhub Internet Pte Ltd,11513,0
10838,Charter Communications Inc,11515,0.61
35244,Tele Columbus AG,11516,0
15404,COLT Technology Services Group Limited,11517,1
3848,"WorldLinx Telecommunications, Inc.",11519,0.07
8508,"Silesian University of Technology, Computer Centre",11520,0
18885,M2ngage Telecommunications II Corp.,11521,0
17897,Heilongjiang Provincial Net of CT,11522,0
11488,BBN Technologies Corp.,11523,0
12605,LIWEST Kabelmedien GmbH,11525,0
27773,MILLICOM CABLE EL SALVADOR S.A. DE C.V.,11527,0
328471,HERO TELECOMS (PTY) LTD,11528,0
9389,BEIJING SHENZHOU GREATWALL COMMUNICATION,11530,0.12
131090,CAT Telecom Public Company Limited,11534,0
103,Northwestern University,11535,0
1706,University of Arizona,11536,0.06
48037,SSC-ICT Haaglanden,11538,1
10599,McKesson Corp.,11541,1
13280,Three Ireland (Hutchison) limited,11542,0
10879,Unitedhealthcare,11543,0
1312,Virginia Polytechnic Institute and State Univ.,11544,0.15
13371,Duke University,11544,0.18
35154,PJSC Rostelecom,11546,0
41272,MOSELLE TELECOM,11547,0
9770,LG HelloVision Corp.,11550,0
9697,LG HelloVision Corp.,11551,0
37294,TELEKOM NETWORKS MALAWI LTD,11552,0
3614,"Dell, Inc.",11555,1
17608,ABN,11556,0
17857,SK Broadband Co Ltd,11557,0
17529,,11557,0
136188,"NINGBO, ZHEJIANG Province, P.R.China.",11560,0
3456,Charter Communications Inc,11562,0.52
14398,"Autodesk, Inc.",11563,0.45
28548,"Cablevisión, S.A. de C.V.",11564,0
27,University of Maryland,11566,0
10066,LG HelloVision Corp.,11568,0
675,Minnesota State Colleges and Universities,11572,0
6877,"PJSC ""Ukrtelecom""",11572,0
18313,LG HelloVision Corp.,11572,0
1252,University of Nebraska Medical Center,11576,0
35041,Binero AB,11578,0
26934,University of Missouri-Columbia,11579,0
18933,"UNITED STATES CELLULAR TELEPHONE COMPANY (GREATER KNOXVILLE), L.P.",11580,0
51604,"JSC ""ER-Telecom Holding""",11580,0
88,Princeton University,11583,0.45
18310,SK Broadband Co Ltd,11584,0
54198,ViaNetTV Inc,11587,0
1341,"Rockwell Collins, Inc.",11588,0.88
5647,Eastman Kodak Company,11588,0
44944,Telenet Group NV,11590,1
9981,Saero Network Service LTD,11590,0
18077,,11592,0
36982,University of Cape Town,11593,0
23162,University of Kentucky,11595,0.52
19180,AMERICATEL PERU S.A.,11596,0
9619,,11598,0
42003,LIBANTELECOM,11600,0
7160,Oracle Corporation,11604,0.42
395965,Carrytel,11605,0
17775,shanghai science and technology network communication limited company,11607,0
13645,"BroadbandONE, LLC",11609,0
9,Carnegie Mellon University,11611,0
50,Oak Ridge National Laboratory,11612,1
3512,Emory University,11614,0.91
14365,Adobe Systems Inc.,11615,0
11995,Oregon Health & Science University,11617,0.03
13579,INFOTEC Centro de Investigacion e Innovacion en Tecnologias de la Informacion y Comunicación,11618,0
3582,University of Oregon,11618,0.3
198864,"Queen Mary and Westfield College, University of London",11622,0
9614,,11622,0
1729,Telia Company AB,11622,1
14381,"Caterpillar, Inc.",11627,0.91
5719,SUNY at Stony Brook,11628,0
41701,Capgemini Finland Oy,11629,0
12810,A1 Hrvatska d.o.o.,11630,0
38700,SMILESERV,11630,0
16623,Alberta Health Services,11633,1
52075,Wifirst S.A.S.,11634,0
20337,SUNY Institute of Technology,11635,0
31,California Institute of Technology,11636,0
6356,Northeast Regional Data Center,11637,0
131,"University of California, Santa Barbara",11642,0.27
2504,,11645,0
15975,Hadara Technologies Private Shareholding Company,11645,0
55992,Beijing Qihu Technology Company Limited,11650,0
6071,Unisys Corporation,11651,0
29,Yale University,11652,0.94
36081,State of Colorado General Government Computer,11654,0
11834,Drexel University,11654,0
22093,Cleveland Clinic Foundation,11654,1
9489,Korea Aerospace Research Institute,11657,1
278,Universidad Nacional Autonoma de Mexico,11659,0
2025,University of Toledo,11660,0.15
3359,University of Alberta,11660,0
5739,"University of California, Santa Cruz",11663,0.42
6200,University of Illinois at Chicago,11666,0.06
11078,Brown University,11669,0
20426,"PriceWaterhouseCoopers, LLP",11669,0
16989,"The University of Tennessee, Memphis",11671,0
6106,"University of California, Riverside",11671,0.24
35141,A1 Bulgaria EAD,11676,0
16831,"Fujitsu Network Communications, Inc.",11676,0
3949,"NTT America, Inc.",11682,0
11039,The George Washington University,11683,0
41289,Deutscher Wetterdienst,11684,0
13636,NEC Corporation of America,11686,0
4190,Binghamton University,11688,0
37342,"Movitel, SA",11688,0
11872,Syracuse University,11690,0
9488,Seoul National University,11692,0
9761,KUMHO,11694,0
8217,ENI S.p.A.,11694,1
12551,ENEL S.p.A,11694,0
32480,Loma Linda University Medical Center,11694,1
11975,The College of William and Mary,11694,0.3
14017,Burlington Northern Sante Fe Railway Corp,11694,1
11577,Vermont Department of Information and Innovation,11694,0
10273,Florida Power & Light Company,11694,0.94
10384,Tennessee Valley Authority,11708,0.91
3794,Texas A&M University,11708,0
24297,,11708,0
132321,NORTHERN TERRITORY OF AUSTRALIA,11708,1
38635,,11708,0
13809,University of Arkansas for Medical Sciences,11722,0
1307,Renater,11722,0
16519,University of Colorado Denver,11722,1
35540,OVH SAS,11722,0
7645,Deakin University,11722,0
35632,Iris 64,11722,0
3452,University of Alabama at Birmingham,11722,0.33
11955,Charter Communications Inc,11749,0.55
21565,"Horry Telephone Cooperative, Inc.",11750,0
396190,"Leaseweb USA, Inc.",11752,0
30633,"Leaseweb USA, Inc.",11755,0
27668,ETAPA EP,11756,0.21
8362,NordNet SA,11758,0
25176,AC-Net Externservice AB,11759,1
15227,"LUMOS Networks, Inc.",11761,0
34383,Teloise,11762,0
12501,"UMDAC, Umea University",11762,0
12626,SFR SA,11762,0
22368,TELEBUCARAMANGA S.A. E.S.P.,11765,0
51570,"JSC ""ER-Telecom Holding""",11766,0
22423,Altima Telecom,11767,0
2706,HKBN Enterprise Solutions HK Limited,11769,0
13886,Cloud South,11770,1
12772,"JSC ""ER-Telecom Holding""",11771,0
135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,11772,0
7516,,11774,0
6157,"SPRINT, Business Serices Group",11775,1
9946,KCTV JEJU BROADCASTING,11778,0
131627,"Peicity Digital Cable Television., LTD",11782,0
5377,Marlink AS,11784,0.88
160,University of Chicago,11785,0
37197,Sudanese Research and Education Network,11787,1
5501,Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.,11789,0
15128,Comwave Telecom Inc.,11790,0
18687,MPOWER COMMUNICATIONS CORP.,11792,0
58895,Ebone Network (PVT.) Limited,11794,0
22363,"Powerhouse Management, Inc.",11795,0.85
27738,Ecuadortelecom S.A.,11796,0.73
24033,Australian Private Networks Pty Ltd,11798,0
18822,Manquehuenet,11799,0
15425,PODA a.s.,11799,0
34296,Millenicom GmbH,11801,0.42
36522,BELL MOBILITY INC.,11802,0
9756,SK Broadband Co Ltd,11803,0
8586,TalkTalk Communications Limited,11804,0
2554,,11804,0
22527,"Safeway, Inc.",11807,1
16462,University of Victoria,11809,0
38285,Vocus Communications,11810,1
10439,"CariNet, Inc.",11812,1
9781,GREEN CABLE TELEVISION STATION,11813,0
203999,Geekyworks IT Solutions Pvt Ltd,11816,0.91
44087,"""BeST"" CJSC",11817,0
14905,"CenturyLink Communications, LLC",11818,1
8570,PJSC Rostelecom,11819,0
197540,netcup GmbH,11820,0.97
2939,State of South Carolina,11821,1
34533,"JSC ""ER-Telecom Holding""",11823,0
53187,UNIVERSIDADE ESTADUAL DE CAMPINAS,11824,0
31939,GigaMonster,11825,0
9706,Busan Institute for Future Education,11827,0
18419,DaDa Broadband LTD.,11828,0.03
137702,China Telecom,11829,0
55803,Hostopia Australia Web Pty Ltd,11830,0
20868,ABB Schweiz AG,11831,0
36590,Emerson Electric Co.,11833,0
8462,Tarr Kft.,11836,1
38109,SK Broadband Co Ltd,11838,0
14464,Rhode Island Network for Educ. Technology,11839,0
55303,"Eagle Sky Co., Lt",11840,0
12797,BT Italia S.p.A.,11841,0
12148,Clemson University,11842,0.09
18494,"CenturyLink Communications, LLC",11843,0
47886,Equinix (Netherlands) B.V.,11845,0
15796,Salt Mobile SA,11846,0
20252,Joan and Sanford I. Weill Medical College and Graduate School of Medical Sciences of Cornell University,11847,1
1342,Fujitsu Invia Finland IP-network,11856,0
47583,Hostinger International Limited,11858,0
4961,Daewoo Information Systems,11859,0
38103,SK Broadband Co Ltd,11860,0
59108,,11862,0.06
17854,SK Broadband Co Ltd,11862,0
36646,Oath Holdings Inc.,11866,0
60496,MTS PJSC,11867,0
16074,Capgemini Nederland B.V.,11868,1
7020,Business Connexion Communications,11869,0
11105,Simon Fraser University,11870,0
4678,,11871,0
37340,SPECTRANET LIMITED,11872,0
7557,Korea Trade Network,11873,0
9811,China Internet Network Infomation Center,11874,0
9319,HCN CHUNGBUK CABLE TV SYSTEMS,11875,0
24154,"Asia Pacific Broadband Fixed Lines Co., Ltd.",11876,0
9976,"Namincheon Brodcasting Co., Ltd.",11877,0
17577,LG HelloVision Corp.,11878,0
6834,KMD A/S,11882,0.88
12118,West Virginia University,11883,0
53508,Cablelynx,11884,0
21221,Infopact Netwerkdiensten B.V.,11885,1
33548,"Unwired Broadband, LLC",11886,0.39
10297,eNET Inc.,11887,0
1781,Korea Advanced Institute of Science and Technology,11888,0
16301,PJSC Rostelecom,11889,0
28512,Cablemas Telecomunicaciones SA de CV,11889,0
9925,PCCW IMS Limited,11894,0
24282,,11897,0
38690,HyosungITX,11898,0
7496,Arq Group Enterprise Pty Ltd,11901,0
20597,"PJSC ""Vimpelcom""",11905,0
16333,Company for communications services A1 Makedonija DOOEL Skopje,11908,0
20130,Depaul University,11909,0
10171,SKTelink,11910,0
36441,University of Georgia,11911,0.33
3807,University of Montana,11914,0
13998,UT Southwestern Medical Center at Dallas,11916,0.09
63835,Hengyang,11917,0
23316,"Bel Air Internet, LLC",11918,0.36
134238,China Telecom,11920,0
17514,,11924,0
9003,SFR SA,11926,0
38669,LG HelloVision Corp.,11931,0
23584,"PUSAN CABLE TV SYSTEM CO., LTD.",11932,0
8257,Slovanet a.s.,11935,0
9600,,11935,0
17135,Ohio University,11938,0.24
10421,Texas Tech University,11939,0
6189,Enoch-Pratt Free Library,11942,0
16922,University of Oklahoma HSC,11943,0
41076,Post Danmark A/S,11944,1
17327,Texas State Technical College at Waco,11944,0
7477,SkyMesh Pty Ltd,11946,0.03
15625,ING Bank N.V.,11949,0
7774,University of Alaska,11951,0
11131,University of Maryland Baltimore County (UMBC),11951,0.3
39005,MEDI@LYS,11959,0
15585,Finanzdirektion des Kantons Bern,11959,1
53785,University of North Carolina at Greensboro,11959,0.27
37532,Zambia Research and Education Network (ZAMREN),11959,0
56329,Gigaclear Limited,11968,0.97
10148,University of Melbourne,11969,0
13476,Montana State University,11971,0
19416,RBC CAPITAL MARKETS CORPORATION,11975,0
131921,,11976,1
137872,China Mobile,11979,0
46687,"BCI Mississippi Broadband,LLC",11980,1
3363,Hong Kong University of Science and Technology,11981,1
4665,Yonsei University,11982,0
17583,Keumgang Cable Network,11983,0
54858,Condointernet.net,11987,0
11711,"TULAROSA COMMUNICATIONS, INC.",11988,0.85
9893,Cenitex,11989,0
6629,National Oceanic and Atmospheric Administration,11989,0
49362,DSV Panalpina A/S,11991,0.16
22216,Siemens Corporation,11992,0.85
693,University of Notre Dame,11994,0
8248,Greek High-School Internet Network,11994,1
7623,Gyeongbuk Cable TV,11996,0
22750,BCS Group (BCSNet),11996,0
35393,CTS Computers and Telecommunications Systems SAS,11998,0
37564,Wirulink Pty Ltd,12001,0
27984,Ver Tv S.A.,12003,0
10054,CMB Kwangju Broadcasting,12005,0
9762,HYUNDAI COMMUNICATIONS NETWORK,12006,0
15582,OJSC Comcor,12006,0
34086,T-Systems International GmbH,12008,0
16839,"SERVICENOW, INC.",12009,0
23470,ReliableSite.Net LLC,12010,0
8267,Academic Computer Centre CYFRONET AGH,12012,0
38676,flexnetworks,12013,0
14921,"CenturyLink Communications, LLC",12014,1
18305,POSCO ICT,12015,0
56478,Hyperoptic Ltd,12017,0
29182,JSC IOT,12018,0
42517,Schiphol Telematics B.V.,12019,1
104,University of Colorado at Boulder,12020,0
17597,SK Broadband Co Ltd,12022,0
29497,MTS PJSC,12027,0
4511,University of Miami,12029,0
5696,Express Scripts Incorporated,12029,0
48945,OPEN FIBRE NETWORKS (WHOLESALE) LIMITED,12031,1
10030,Celcom Axiata Berhad,12032,0
34006,SPIE Cloud Services SAS,12033,0
43118,East & West Sp. z o.o.,12034,0
202116,Scania CV AB,12036,0
54996,Scripps Health,12037,0
8771,YUnet International d.o.o.,12039,1
29601,UPM-Kymmene Oyj,12039,1
5080,Aramco,12041,0
9509,Department of Education Skills and Employment,12045,0
3661,Chinese University of Hong Kong (The),12046,1
2552,Washington University,12047,0.15
21582,Northern Arizona University,12048,0.48
12793,A1 Telekom Austria AG,12048,0
17598,LG HelloVision Corp.,12048,0
2824,Deutsche Bank AG,12056,1
9686,SungKyunKwan University (SKKU),12056,0
9112,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center",12059,0
18047,National Tsing-Hua University,12060,0
30407,Velcom,12060,0
9298,"Beijing GuanghuanXuntong Digital Technology Co.,LTD.",12060,0
2033,Panix Network Information Center,12063,0
22968,Miami University,12063,0.64
10715,Universidade Federal de Santa Catarina,12068,0
14366,Rogers Communications Canada Inc.,12068,0
137689,"IOT Jiangsu network, Chinatelecom, P.R.China.",12068,0
37717,Centre de Calcul El Khawarizmi,12068,0
10546,Mississippi State University,12077,0
14454,"SilverSky, Inc.",12078,0
28686,Avectris AG,12080,0
49223,EVEREST TV AND RADIO COMPANY LLC,12081,0
23781,,12083,1
4282,"CenturyLink Communications, LLC",12084,0
28075,ARLINK S.A.,12089,0.26
18558,Riverside County Office of Education,12090,0.3
802,York University,12090,1
18978,Enzu Inc,12092,0.52
13433,Cox Enterprises Inc,12094,0
10436,Instituto Tecnológico y de Estudios Superiores de Monterrey,12096,0
28929,ASDASD srl a socio unico,12097,0
6579,Memorial University of Newfoundland,12098,0
11700,CW-E,12099,1
10052,Kyungpook National University,12101,0
35311,PR-TELECOM ZRt.,12104,0
34108,Stichting Breedband Delft,12106,0
15457,"NOS Madeira Comunicacoes, S.A.",12106,0
37028,First Rand Bank Limited,12109,0
11827,Washington State University,12110,0
17153,New Mexico Tech,12111,0
27370,City of Boston,12113,0
39435,"JSC ""ER-Telecom Holding""",12115,0
4758,National Informatics Centre,12118,0
37007,Liberty Group Limited,12125,0
49524,Wolnet SRL,12126,0
7849,CROCKER COMMUNICATIONS,12127,0
10000,,12128,0
18422,Industrial Technology Research Institute,12130,0
